section,spot_index,obs_name,cluster,spatial_domain,stage
Simulation2,0,529,10,sp2,Simulation2
Simulation2,1,478,4,sp1,Simulation2
Simulation2,2,234,1,sp2,Simulation2
Simulation2,3,64,10,sp2,Simulation2
Simulation2,4,1087,3,sp3,Simulation2
Simulation2,5,743,9,sp4,Simulation2
Simulation2,6,539,11,sp2,Simulation2
Simulation2,7,266,4,sp1,Simulation2
Simulation2,8,963,0,sp4,Simulation2
Simulation2,9,959,5,background,Simulation2
Simulation2,10,462,8,sp2,Simulation2
Simulation2,11,348,2,background,Simulation2
Simulation2,12,806,6,background,Simulation2
Simulation2,13,496,1,sp2,Simulation2
Simulation2,14,652,0,sp3,Simulation2
Simulation2,15,1179,9,sp4,Simulation2
Simulation2,16,861,9,sp4,Simulation2
Simulation2,17,578,8,background,Simulation2
Simulation2,18,63,1,sp2,Simulation2
Simulation2,19,818,9,sp4,Simulation2
Simulation2,20,460,1,sp2,Simulation2
Simulation2,21,798,6,background,Simulation2
Simulation2,22,852,9,sp4,Simulation2
Simulation2,23,142,10,sp2,Simulation2
Simulation2,24,332,11,sp1,Simulation2
Simulation2,25,817,9,sp4,Simulation2
Simulation2,26,725,8,sp3,Simulation2
Simulation2,27,1022,2,background,Simulation2
Simulation2,28,1112,2,background,Simulation2
Simulation2,29,46,4,sp1,Simulation2
Simulation2,30,830,7,sp3,Simulation2
Simulation2,31,1015,3,sp3,Simulation2
Simulation2,32,104,1,sp2,Simulation2
Simulation2,33,1201,5,sp3,Simulation2
Simulation2,34,1220,2,background,Simulation2
Simulation2,35,696,2,background,Simulation2
Simulation2,36,490,1,sp2,Simulation2
Simulation2,37,319,1,sp2,Simulation2
Simulation2,38,893,5,sp4,Simulation2
Simulation2,39,524,1,sp2,Simulation2
Simulation2,40,468,8,background,Simulation2
Simulation2,41,1239,3,sp3,Simulation2
Simulation2,42,992,2,background,Simulation2
Simulation2,43,232,4,sp1,Simulation2
Simulation2,44,61,8,sp2,Simulation2
Simulation2,45,1000,5,sp4,Simulation2
Simulation2,46,79,4,sp1,Simulation2
Simulation2,47,404,4,sp1,Simulation2
Simulation2,48,14,2,background,Simulation2
Simulation2,49,16,2,background,Simulation2
Simulation2,50,626,2,background,Simulation2
Simulation2,51,853,9,sp4,Simulation2
Simulation2,52,821,9,sp4,Simulation2
Simulation2,53,1191,8,sp3,Simulation2
Simulation2,54,1005,2,background,Simulation2
Simulation2,55,592,5,background,Simulation2
Simulation2,56,562,10,sp2,Simulation2
Simulation2,57,1273,8,sp3,Simulation2
Simulation2,58,807,5,background,Simulation2
Simulation2,59,728,6,background,Simulation2
Simulation2,60,452,5,sp2,Simulation2
Simulation2,61,1081,3,sp3,Simulation2
Simulation2,62,1033,0,sp4,Simulation2
Simulation2,63,937,8,sp3,Simulation2
Simulation2,64,600,10,sp2,Simulation2
Simulation2,65,170,1,sp2,Simulation2
Simulation2,66,194,2,background,Simulation2
Simulation2,67,702,9,sp4,Simulation2
Simulation2,68,212,1,sp2,Simulation2
Simulation2,69,450,10,sp2,Simulation2
Simulation2,70,747,9,sp4,Simulation2
Simulation2,71,255,7,sp1,Simulation2
Simulation2,72,1008,5,sp3,Simulation2
Simulation2,73,646,1,sp2,Simulation2
Simulation2,74,120,5,background,Simulation2
Simulation2,75,537,8,sp2,Simulation2
Simulation2,76,96,1,sp2,Simulation2
Simulation2,77,223,7,sp1,Simulation2
Simulation2,78,1,5,background,Simulation2
Simulation2,79,627,2,background,Simulation2
Simulation2,80,837,2,background,Simulation2
Simulation2,81,1116,5,sp3,Simulation2
Simulation2,82,643,10,sp2,Simulation2
Simulation2,83,915,2,background,Simulation2
Simulation2,84,889,7,sp4,Simulation2
Simulation2,85,283,8,sp2,Simulation2
Simulation2,86,878,6,background,Simulation2
Simulation2,87,871,11,sp3,Simulation2
Simulation2,88,519,6,background,Simulation2
Simulation2,89,43,4,sp1,Simulation2
Simulation2,90,1158,3,sp3,Simulation2
Simulation2,91,482,2,background,Simulation2
Simulation2,92,800,2,background,Simulation2
Simulation2,93,169,1,sp2,Simulation2
Simulation2,94,347,8,sp2,Simulation2
Simulation2,95,53,0,background,Simulation2
Simulation2,96,710,9,sp4,Simulation2
Simulation2,97,422,2,background,Simulation2
Simulation2,98,15,2,background,Simulation2
Simulation2,99,412,4,sp1,Simulation2
Simulation2,100,220,4,sp1,Simulation2
Simulation2,101,1006,2,background,Simulation2
Simulation2,102,926,9,sp4,Simulation2
Simulation2,103,1194,8,sp3,Simulation2
Simulation2,104,306,1,sp2,Simulation2
Simulation2,105,463,10,sp2,Simulation2
Simulation2,106,772,5,background,Simulation2
Simulation2,107,440,4,sp1,Simulation2
Simulation2,108,1262,3,sp3,Simulation2
Simulation2,109,826,9,sp4,Simulation2
Simulation2,110,98,1,sp2,Simulation2
Simulation2,111,1206,7,background,Simulation2
Simulation2,112,95,1,sp2,Simulation2
Simulation2,113,877,5,background,Simulation2
Simulation2,114,1280,2,background,Simulation2
Simulation2,115,403,4,sp1,Simulation2
Simulation2,116,5,2,background,Simulation2
Simulation2,117,372,7,sp1,Simulation2
Simulation2,118,917,2,background,Simulation2
Simulation2,119,277,5,background,Simulation2
Simulation2,120,388,8,background,Simulation2
Simulation2,121,153,4,sp1,Simulation2
Simulation2,122,1141,9,sp4,Simulation2
Simulation2,123,102,1,sp2,Simulation2
Simulation2,124,908,8,sp3,Simulation2
Simulation2,125,634,1,sp2,Simulation2
Simulation2,126,35,1,sp2,Simulation2
Simulation2,127,909,0,sp3,Simulation2
Simulation2,128,1233,6,sp3,Simulation2
Simulation2,129,26,10,sp2,Simulation2
Simulation2,130,1040,11,background,Simulation2
Simulation2,131,497,1,sp2,Simulation2
Simulation2,132,436,2,background,Simulation2
Simulation2,133,159,2,background,Simulation2
Simulation2,134,695,11,background,Simulation2
Simulation2,135,1150,2,background,Simulation2
Simulation2,136,732,2,background,Simulation2
Simulation2,137,1182,2,background,Simulation2
Simulation2,138,438,4,sp1,Simulation2
Simulation2,139,804,2,background,Simulation2
Simulation2,140,534,10,sp2,Simulation2
Simulation2,141,322,1,sp2,Simulation2
Simulation2,142,567,0,sp2,Simulation2
Simulation2,143,801,8,background,Simulation2
Simulation2,144,1053,3,sp3,Simulation2
Simulation2,145,97,1,sp2,Simulation2
Simulation2,146,165,1,sp2,Simulation2
Simulation2,147,1105,0,sp4,Simulation2
Simulation2,148,1269,3,sp3,Simulation2
Simulation2,149,213,1,sp2,Simulation2
Simulation2,150,685,6,sp3,Simulation2
Simulation2,151,1142,5,sp4,Simulation2
Simulation2,152,633,8,sp2,Simulation2
Simulation2,153,588,2,background,Simulation2
Simulation2,154,940,0,sp3,Simulation2
Simulation2,155,1240,3,sp3,Simulation2
Simulation2,156,824,9,sp4,Simulation2
Simulation2,157,32,5,sp2,Simulation2
Simulation2,158,675,5,sp4,Simulation2
Simulation2,159,402,4,sp1,Simulation2
Simulation2,160,353,2,background,Simulation2
Simulation2,161,668,9,sp4,Simulation2
Simulation2,162,376,4,sp1,Simulation2
Simulation2,163,1275,3,sp3,Simulation2
Simulation2,164,1013,6,sp3,Simulation2
Simulation2,165,881,2,background,Simulation2
Simulation2,166,1011,3,sp3,Simulation2
Simulation2,167,933,5,background,Simulation2
Simulation2,168,483,6,background,Simulation2
Simulation2,169,869,3,sp3,Simulation2
Simulation2,170,486,1,sp2,Simulation2
Simulation2,171,302,4,sp1,Simulation2
Simulation2,172,602,11,sp2,Simulation2
Simulation2,173,1216,9,sp4,Simulation2
Simulation2,174,1119,6,sp3,Simulation2
Simulation2,175,1177,5,sp4,Simulation2
Simulation2,176,361,4,sp1,Simulation2
Simulation2,177,1293,8,background,Simulation2
Simulation2,178,546,4,sp1,Simulation2
Simulation2,179,267,4,sp1,Simulation2
Simulation2,180,552,2,background,Simulation2
Simulation2,181,151,0,sp1,Simulation2
Simulation2,182,1282,2,background,Simulation2
Simulation2,183,244,6,background,Simulation2
Simulation2,184,1286,0,sp4,Simulation2
Simulation2,185,407,4,sp1,Simulation2
Simulation2,186,1189,0,sp3,Simulation2
Simulation2,187,1207,5,background,Simulation2
Simulation2,188,1163,3,sp3,Simulation2
Simulation2,189,51,5,background,Simulation2
Simulation2,190,259,4,sp1,Simulation2
Simulation2,191,842,6,background,Simulation2
Simulation2,192,682,0,sp4,Simulation2
Simulation2,193,1217,0,sp4,Simulation2
Simulation2,194,73,2,background,Simulation2
Simulation2,195,556,8,background,Simulation2
Simulation2,196,509,2,background,Simulation2
Simulation2,197,1222,2,background,Simulation2
Simulation2,198,1021,11,background,Simulation2
Simulation2,199,346,7,sp2,Simulation2
Simulation2,200,1068,9,sp4,Simulation2
Simulation2,201,160,8,background,Simulation2
Simulation2,202,1043,2,background,Simulation2
Simulation2,203,473,5,background,Simulation2
Simulation2,204,401,4,sp1,Simulation2
Simulation2,205,1044,3,sp3,Simulation2
Simulation2,206,611,1,sp2,Simulation2
Simulation2,207,437,2,background,Simulation2
Simulation2,208,699,11,background,Simulation2
Simulation2,209,840,2,background,Simulation2
Simulation2,210,902,3,sp3,Simulation2
Simulation2,211,974,3,sp3,Simulation2
Simulation2,212,949,2,background,Simulation2
Simulation2,213,1274,3,sp3,Simulation2
Simulation2,214,136,1,sp2,Simulation2
Simulation2,215,720,8,sp3,Simulation2
Simulation2,216,50,6,background,Simulation2
Simulation2,217,709,5,sp4,Simulation2
Simulation2,218,885,5,background,Simulation2
Simulation2,219,785,0,sp4,Simulation2
Simulation2,220,555,7,background,Simulation2
Simulation2,221,765,2,background,Simulation2
Simulation2,222,664,2,background,Simulation2
Simulation2,223,721,3,sp3,Simulation2
Simulation2,224,605,1,sp2,Simulation2
Simulation2,225,421,2,background,Simulation2
Simulation2,226,564,10,sp2,Simulation2
Simulation2,227,318,5,sp2,Simulation2
Simulation2,228,42,4,sp1,Simulation2
Simulation2,229,510,4,sp1,Simulation2
Simulation2,230,658,2,background,Simulation2
Simulation2,231,1226,6,sp3,Simulation2
Simulation2,232,199,1,sp2,Simulation2
Simulation2,233,912,8,background,Simulation2
Simulation2,234,257,4,sp1,Simulation2
Simulation2,235,94,1,sp2,Simulation2
Simulation2,236,1089,8,sp3,Simulation2
Simulation2,237,1091,6,sp3,Simulation2
Simulation2,238,845,11,background,Simulation2
Simulation2,239,819,0,sp4,Simulation2
Simulation2,240,1192,6,sp3,Simulation2
Simulation2,241,655,5,background,Simulation2
Simulation2,242,127,1,sp2,Simulation2
Simulation2,243,517,5,background,Simulation2
Simulation2,244,999,9,sp4,Simulation2
Simulation2,245,735,6,background,Simulation2
Simulation2,246,518,2,background,Simulation2
Simulation2,247,984,11,background,Simulation2
Simulation2,248,258,11,sp1,Simulation2
Simulation2,249,1147,8,background,Simulation2
Simulation2,250,775,11,sp4,Simulation2
Simulation2,251,1138,7,background,Simulation2
Simulation2,252,665,8,background,Simulation2
Simulation2,253,369,7,sp1,Simulation2
Simulation2,254,1036,9,sp4,Simulation2
Simulation2,255,986,2,background,Simulation2
Simulation2,256,829,3,sp3,Simulation2
Simulation2,257,81,4,sp1,Simulation2
Simulation2,258,692,2,background,Simulation2
Simulation2,259,619,4,sp1,Simulation2
Simulation2,260,904,3,sp3,Simulation2
Simulation2,261,761,6,sp3,Simulation2
Simulation2,262,1001,9,sp4,Simulation2
Simulation2,263,647,1,sp2,Simulation2
Simulation2,264,375,7,sp1,Simulation2
Simulation2,265,566,1,sp2,Simulation2
Simulation2,266,1029,2,background,Simulation2
Simulation2,267,1251,9,sp4,Simulation2
Simulation2,268,639,1,sp2,Simulation2
Simulation2,269,23,5,sp2,Simulation2
Simulation2,270,859,9,sp4,Simulation2
Simulation2,271,17,8,background,Simulation2
Simulation2,272,557,2,background,Simulation2
Simulation2,273,1161,3,sp3,Simulation2
Simulation2,274,1067,2,background,Simulation2
Simulation2,275,714,9,sp4,Simulation2
Simulation2,276,334,4,sp1,Simulation2
Simulation2,277,299,4,sp1,Simulation2
Simulation2,278,894,6,background,Simulation2
Simulation2,279,124,8,background,Simulation2
Simulation2,280,313,6,background,Simulation2
Simulation2,281,420,2,background,Simulation2
Simulation2,282,1130,3,sp3,Simulation2
Simulation2,283,30,1,sp2,Simulation2
Simulation2,284,1122,3,sp3,Simulation2
Simulation2,285,1140,9,sp4,Simulation2
Simulation2,286,113,5,background,Simulation2
Simulation2,287,1133,8,sp3,Simulation2
Simulation2,288,114,7,sp1,Simulation2
Simulation2,289,1258,8,background,Simulation2
Simulation2,290,36,5,background,Simulation2
Simulation2,291,3,6,background,Simulation2
Simulation2,292,876,2,background,Simulation2
Simulation2,293,1294,6,background,Simulation2
Simulation2,294,206,1,sp2,Simulation2
Simulation2,295,271,1,sp2,Simulation2
Simulation2,296,1243,2,background,Simulation2
Simulation2,297,247,1,sp2,Simulation2
Simulation2,298,457,10,sp2,Simulation2
Simulation2,299,253,4,sp1,Simulation2
Simulation2,300,201,11,sp2,Simulation2
Simulation2,301,1070,5,sp4,Simulation2
Simulation2,302,297,7,sp1,Simulation2
Simulation2,303,85,2,background,Simulation2
Simulation2,304,311,5,sp2,Simulation2
Simulation2,305,145,6,background,Simulation2
Simulation2,306,690,2,background,Simulation2
Simulation2,307,1281,11,background,Simulation2
Simulation2,308,848,9,sp4,Simulation2
Simulation2,309,502,1,sp2,Simulation2
Simulation2,310,272,1,sp2,Simulation2
Simulation2,311,435,5,background,Simulation2
Simulation2,312,264,4,sp1,Simulation2
Simulation2,313,865,3,sp3,Simulation2
Simulation2,314,1078,6,background,Simulation2
Simulation2,315,330,11,sp1,Simulation2
Simulation2,316,895,5,background,Simulation2
Simulation2,317,671,9,sp4,Simulation2
Simulation2,318,349,5,background,Simulation2
Simulation2,319,137,1,sp2,Simulation2
Simulation2,320,130,1,sp2,Simulation2
Simulation2,321,233,4,sp1,Simulation2
Simulation2,322,993,0,background,Simulation2
Simulation2,323,423,2,background,Simulation2
Simulation2,324,1205,8,sp3,Simulation2
Simulation2,325,191,4,sp1,Simulation2
Simulation2,326,1113,8,background,Simulation2
Simulation2,327,31,1,sp2,Simulation2
Simulation2,328,242,8,background,Simulation2
Simulation2,329,22,1,sp2,Simulation2
Simulation2,330,477,4,sp1,Simulation2
Simulation2,331,831,3,sp3,Simulation2
Simulation2,332,723,3,sp3,Simulation2
Simulation2,333,156,11,background,Simulation2
