spot_index,obs_name,x,y,spatial_domain,original_barcode,spfac_1,spfac_2,spfac_3,spfac_4,rna_nsfac_1,adt_nsfac_1,rna_nsfac_2,adt_nsfac_2,rna_nsfac_3,adt_nsfac_3,spatial_x,spatial_y,section,stage
0,529,0.8571429,0.40000522,sp2,529,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.8571429,0.40000522,Simulation2,Simulation2
1,478,-0.8571429,0.5142909,sp1,478,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8571429,0.5142909,Simulation2,Simulation2
2,234,0.057142973,1.3142909,sp2,234,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.057142973,1.3142909,Simulation2,Simulation2
3,64,1.2,1.8857194,sp2,64,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.2,1.8857194,Simulation2,Simulation2
4,1087,-1.2,-1.4285663,sp3,1087,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2,-1.4285663,Simulation2,Simulation2
5,743,0.6285715,-0.28570914,sp4,743,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6285715,-0.28570914,Simulation2,Simulation2
6,539,2.0,0.40000522,sp2,539,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,0.40000522,Simulation2,Simulation2
7,266,-0.39999998,1.2000052,sp1,266,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.39999998,1.2000052,Simulation2,Simulation2
8,963,1.0857143,-0.9714235,sp4,963,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0857143,-0.9714235,Simulation2,Simulation2
9,959,0.6285715,-0.9714235,background,959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6285715,-0.9714235,Simulation2,Simulation2
10,462,1.4285715,0.62857664,sp2,462,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.4285715,0.62857664,Simulation2,Simulation2
11,348,0.7428572,0.97143376,background,348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7428572,0.97143376,Simulation2,Simulation2
12,806,-0.39999998,-0.5142807,background,806,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,-0.39999998,-0.5142807,Simulation2,Simulation2
13,496,1.2,0.5142909,sp2,496,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.5142909,Simulation2,Simulation2
14,652,-1.5428572,-0.057137728,sp3,652,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,-1.5428572,-0.057137728,Simulation2,Simulation2
15,1179,1.0857143,-1.6571378,sp4,1179,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0857143,-1.6571378,Simulation2,Simulation2
16,861,1.7714286,-0.6285664,sp4,861,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7714286,-0.6285664,Simulation2,Simulation2
17,578,-1.7714286,0.1714338,background,578,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-1.7714286,0.1714338,Simulation2,Simulation2
18,63,1.0857143,1.8857194,sp2,63,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0857143,1.8857194,Simulation2,Simulation2
19,818,0.97142863,-0.5142807,sp4,818,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.97142863,-0.5142807,Simulation2,Simulation2
20,460,1.2,0.62857664,sp2,460,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.62857664,Simulation2,Simulation2
21,798,-1.3142858,-0.5142807,background,798,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,-1.3142858,-0.5142807,Simulation2,Simulation2
22,852,0.7428572,-0.6285664,sp4,852,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7428572,-0.6285664,Simulation2,Simulation2
23,142,1.8857143,1.657148,sp2,142,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.8857143,1.657148,Simulation2,Simulation2
24,332,-1.0857143,0.97143376,sp1,332,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,-1.0857143,0.97143376,Simulation2,Simulation2
25,817,0.8571429,-0.5142807,sp4,817,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8571429,-0.5142807,Simulation2,Simulation2
26,725,-1.4285715,-0.28570914,sp3,725,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-1.4285715,-0.28570914,Simulation2,Simulation2
27,1022,-0.39999998,-1.1999949,background,1022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.39999998,-1.1999949,Simulation2,Simulation2
28,1112,1.6571429,-1.4285663,background,1112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6571429,-1.4285663,Simulation2,Simulation2
29,46,-0.8571429,1.8857194,sp1,46,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8571429,1.8857194,Simulation2,Simulation2
30,830,-1.7714286,-0.6285664,sp3,830,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,-1.7714286,-0.6285664,Simulation2,Simulation2
31,1015,-1.2,-1.1999949,sp3,1015,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2,-1.1999949,Simulation2,Simulation2
32,104,1.6571429,1.7714337,sp2,104,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6571429,1.7714337,Simulation2,Simulation2
33,1201,-0.5142858,-1.7714235,sp3,1201,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,-0.5142858,-1.7714235,Simulation2,Simulation2
34,1220,1.6571429,-1.7714235,background,1220,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6571429,-1.7714235,Simulation2,Simulation2
35,696,-0.6285715,-0.17142344,background,696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6285715,-0.17142344,Simulation2,Simulation2
36,490,0.5142858,0.5142909,sp2,490,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5142858,0.5142909,Simulation2,Simulation2
37,319,1.5428572,1.0857195,sp2,319,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5428572,1.0857195,Simulation2,Simulation2
38,893,1.3142858,-0.7428521,sp4,893,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.3142858,-0.7428521,Simulation2,Simulation2
39,524,0.2857144,0.40000522,sp2,524,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2857144,0.40000522,Simulation2,Simulation2
40,468,-2.0,0.5142909,background,468,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-2.0,0.5142909,Simulation2,Simulation2
41,1239,-0.28571427,-1.8857092,sp3,1239,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.28571427,-1.8857092,Simulation2,Simulation2
42,992,0.2857144,-1.0857092,background,992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2857144,-1.0857092,Simulation2,Simulation2
43,232,-0.17142856,1.3142909,sp1,232,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.17142856,1.3142909,Simulation2,Simulation2
44,61,0.8571429,1.8857194,sp2,61,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.8571429,1.8857194,Simulation2,Simulation2
45,1000,1.2,-1.0857092,sp4,1000,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.2,-1.0857092,Simulation2,Simulation2
46,79,-1.2,1.7714337,sp1,79,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,-1.2,1.7714337,Simulation2,Simulation2
47,404,-1.0857143,0.74286234,sp1,404,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0857143,0.74286234,Simulation2,Simulation2
48,14,-0.39999998,2.0000052,background,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.39999998,2.0000052,Simulation2,Simulation2
49,16,-0.17142856,2.0000052,background,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.17142856,2.0000052,Simulation2,Simulation2
50,626,-0.39999998,0.0571481,background,626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.39999998,0.0571481,Simulation2,Simulation2
51,853,0.8571429,-0.6285664,sp4,853,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8571429,-0.6285664,Simulation2,Simulation2
52,821,1.3142858,-0.5142807,sp4,821,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3142858,-0.5142807,Simulation2,Simulation2
53,1191,-1.6571429,-1.7714235,sp3,1191,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-1.6571429,-1.7714235,Simulation2,Simulation2
54,1005,1.7714286,-1.0857092,background,1005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7714286,-1.0857092,Simulation2,Simulation2
55,592,-0.17142856,0.1714338,background,592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,-0.17142856,0.1714338,Simulation2,Simulation2
