section,spot_index,obs_name,cluster,spatial_domain,stage
Simulation5,0,529,1,sp2,Simulation5
Simulation5,1,478,4,sp1,Simulation5
Simulation5,2,234,1,sp2,Simulation5
Simulation5,3,64,1,sp2,Simulation5
Simulation5,4,1087,3,sp3,Simulation5
Simulation5,5,743,0,sp4,Simulation5
Simulation5,6,539,2,sp2,Simulation5
Simulation5,7,266,4,sp1,Simulation5
Simulation5,8,963,2,sp4,Simulation5
Simulation5,9,959,3,background,Simulation5
Simulation5,10,462,2,sp2,Simulation5
Simulation5,11,348,0,background,Simulation5
Simulation5,12,806,0,background,Simulation5
Simulation5,13,496,1,sp2,Simulation5
Simulation5,14,652,2,sp3,Simulation5
Simulation5,15,1179,0,sp4,Simulation5
Simulation5,16,861,0,sp4,Simulation5
Simulation5,17,578,2,background,Simulation5
Simulation5,18,63,1,sp2,Simulation5
Simulation5,19,818,0,sp4,Simulation5
Simulation5,20,460,1,sp2,Simulation5
Simulation5,21,798,0,background,Simulation5
Simulation5,22,852,0,sp4,Simulation5
Simulation5,23,142,1,sp2,Simulation5
Simulation5,24,332,2,sp1,Simulation5
Simulation5,25,817,0,sp4,Simulation5
Simulation5,26,725,2,sp3,Simulation5
Simulation5,27,1022,0,background,Simulation5
Simulation5,28,1112,0,background,Simulation5
Simulation5,29,46,4,sp1,Simulation5
Simulation5,30,830,3,sp3,Simulation5
Simulation5,31,1015,3,sp3,Simulation5
Simulation5,32,104,1,sp2,Simulation5
Simulation5,33,1201,3,sp3,Simulation5
Simulation5,34,1220,0,background,Simulation5
Simulation5,35,696,0,background,Simulation5
Simulation5,36,490,1,sp2,Simulation5
Simulation5,37,319,1,sp2,Simulation5
Simulation5,38,893,3,sp4,Simulation5
Simulation5,39,524,1,sp2,Simulation5
Simulation5,40,468,2,background,Simulation5
Simulation5,41,1239,3,sp3,Simulation5
Simulation5,42,992,0,background,Simulation5
Simulation5,43,232,2,sp1,Simulation5
Simulation5,44,61,2,sp2,Simulation5
Simulation5,45,1000,3,sp4,Simulation5
Simulation5,46,79,4,sp1,Simulation5
Simulation5,47,404,4,sp1,Simulation5
Simulation5,48,14,0,background,Simulation5
Simulation5,49,16,0,background,Simulation5
Simulation5,50,626,0,background,Simulation5
Simulation5,51,853,0,sp4,Simulation5
Simulation5,52,821,0,sp4,Simulation5
Simulation5,53,1191,2,sp3,Simulation5
Simulation5,54,1005,0,background,Simulation5
Simulation5,55,592,3,background,Simulation5
Simulation5,56,562,1,sp2,Simulation5
Simulation5,57,1273,2,sp3,Simulation5
Simulation5,58,807,3,background,Simulation5
Simulation5,59,728,0,background,Simulation5
Simulation5,60,452,1,sp2,Simulation5
Simulation5,61,1081,3,sp3,Simulation5
Simulation5,62,1033,2,sp4,Simulation5
Simulation5,63,937,2,sp3,Simulation5
Simulation5,64,600,1,sp2,Simulation5
Simulation5,65,170,1,sp2,Simulation5
Simulation5,66,194,0,background,Simulation5
Simulation5,67,702,0,sp4,Simulation5
Simulation5,68,212,1,sp2,Simulation5
Simulation5,69,450,1,sp2,Simulation5
Simulation5,70,747,0,sp4,Simulation5
Simulation5,71,255,4,sp1,Simulation5
